계약년월,번호,계약일,시군구일련번호,번지,지목,용도지역,도로조건,계약면적,거래금액,지분구분,해제사유발생일,거래구분,거래유형,시군구명,법정동코드
201910,46712,01,2089,4**,전,보전녹지지역,8m미만,25.0000,2858.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46713,01,2089,4**,전,보전녹지지역,8m미만,11.0000,1225.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46714,01,2089,4**,전,보전녹지지역,-,9.0000,1055.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46715,01,2089,4**,전,보전녹지지역,-,8.0000,953.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46716,01,2089,4**,전,보전녹지지역,8m미만,11.0000,1259.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46717,01,2089,4**,답,보전녹지지역,8m미만,626.0000,71044.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46718,01,2089,4**,답,보전녹지지역,-,236.0000,26751.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46719,01,2089,4**,답,보전녹지지역,8m미만,128.0000,14527.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46720,01,2089,4**,답,보전녹지지역,8m미만,55.0000,6226.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46721,01,2089,4**,답,보전녹지지역,-,101.0000,11465.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46722,01,2089,산4*,임야,보전녹지지역,-,66.0000,3200.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46723,04,2089,3**,답,보전녹지지역,8m미만,349.0000,25000.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46724,17,2089,산4*,임야,보전녹지지역,-,109.0000,5280.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46725,25,2089,산4*,임야,보전녹지지역,-,33.0000,1600.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46726,31,2089,산4*,임야,보전녹지지역,-,66.0000,2800.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46728,02,3927,2**,전,자연녹지지역,8m미만,198.0000,42000.0000,지분,-,-,,경기도 성남시분당구 동원동,4113511300
201911,49308,20,2087,2**,전,보전녹지지역,8m미만,1429.0000,230000.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201911,49309,20,2087,2**,임야,보전녹지지역,-,746.0000,20000.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201911,49313,08,2089,2*,답,보전녹지지역,-,309.0000,40000.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201908,41740,22,3000,산6*,임야,개발제한구역,-,264.0000,2050.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41741,23,3000,산4*,임야,개발제한구역,-,628.0000,980.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41742,23,3000,산7*,임야,개발제한구역,-,688.0000,1050.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201908,41743,30,3000,산8*,임야,개발제한구역,-,330.0000,1990.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201912,7846,05,3000,산1**,임야,보전녹지지역,-,10.0000,261.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201912,7847,05,3000,산1**,임야,보전녹지지역,-,33.0000,870.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201912,7848,05,3000,산1**,임야,보전녹지지역,-,17.0000,435.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201912,7849,05,3000,산1**,임야,보전녹지지역,-,83.0000,2175.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201912,7850,05,3000,산1**,임야,보전녹지지역,-,47.0000,1218.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201912,7851,05,3000,산1**,임야,보전녹지지역,-,41.0000,1044.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201912,7852,05,3000,산1**,임야,보전녹지지역,-,37.0000,957.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201912,7855,05,3000,산8*,임야,개발제한구역,-,168.0000,1015.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46729,08,3000,산6*,임야,개발제한구역,-,165.0000,1195.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46730,14,3000,산1**,임야,보전녹지지역,-,102.0000,3510.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46731,14,3000,산6*,임야,개발제한구역,-,33.0000,239.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46732,14,3000,9**,대,제2종전용주거지역,8m미만,396.0000,386747.0000,,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46733,14,3000,9**,대,제2종전용주거지역,8m미만,5.0000,755.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46734,14,3000,9**,대,제2종전용주거지역,8m미만,12.0000,1824.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46735,14,3000,9**,대,제2종전용주거지역,-,5.0000,755.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46736,14,3000,9**,도로,제2종전용주거지역,12m미만,46.0000,7172.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46737,14,3000,9**,도로,제2종전용주거지역,25m미만,57.0000,9017.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46738,23,3000,9**,대,제2종전용주거지역,8m미만,5.0000,941.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46739,23,3000,9**,대,제2종전용주거지역,-,5.0000,941.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46740,23,3000,9**,대,제2종전용주거지역,8m미만,13.0000,2265.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46741,23,3000,9**,대,제2종전용주거지역,8m미만,443.0000,412972.0000,,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46742,23,3000,9**,도로,제2종전용주거지역,12m미만,51.0000,8872.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46743,23,3000,9**,도로,제2종전용주거지역,25m미만,64.0000,11172.0000,지분,-,-,,경기도 성남시분당구 운중동,4113511500
201910,46744,31,3000,1***,대,제1종전용주거지역,12m미만,231.0000,150000.0000,,-,-,,경기도 성남시분당구 운중동,4113511500
