계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
202503,402,20,18828,145,집합,판교로,근린상업,공장,25m이상,147.2800,0.0000,51595.0000,8,,,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202504,343,21,18828,145,집합,판교로,근린상업,공장,25m이상,450.9200,0.0000,164500.0000,6,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202505,105,29,18828,150,집합,판교로,근린상업,공장,25m이상,150.3200,0.0000,56151.0000,9,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202505,154,28,18828,150,집합,판교로,근린상업,창고시설,25m이상,152.4400,0.0000,31640.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202505,450,19,18828,150,집합,판교로,근린상업,공장,25m이상,77.3500,0.0000,12600.0000,,,1994,-,직거래,경기도 성남시 분당구 야탑동,4113510700
202505,729,09,18828,150,집합,판교로,근린상업,창고시설,25m이상,54.9500,0.0000,12000.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202505,737,09,18828,150,집합,판교로,근린상업,창고시설,25m이상,54.9500,0.0000,11400.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202506,6,30,18828,145,집합,판교로,근린상업,창고시설,25m이상,54.9500,0.0000,10900.0000,,,,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202506,400,19,18828,151,집합,판교로,근린상업,공장,25m이상,147.6100,0.0000,50000.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202507,24,31,18828,148,집합,판교로,근린상업,창고시설,25m이상,54.9500,0.0000,12050.0000,,,,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202508,58,29,18828,150,집합,판교로,근린상업,공장,25m이상,148.6000,0.0000,55000.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202508,328,21,18828,151,집합,판교로,근린상업,공장,25m이상,149.1000,0.0000,48000.0000,,,1994,-,직거래,경기도 성남시 분당구 야탑동,4113510700
202508,533,12,18828,151,집합,판교로,근린상업,공장,25m이상,301.8200,0.0000,105000.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202509,24,30,18828,151,집합,판교로,근린상업,공장,25m이상,149.1000,0.0000,48000.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202510,425,20,18828,151,집합,판교로,근린상업,창고시설,25m이상,79.0000,0.0000,12365.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
