계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
201706,7534,02,2089,2**,집합,정자일로,중심상업,제2종근린생활,25m이상,44.0000,0.0000,21000.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7535,23,2089,3**,집합,대왕판교로,보전녹지,기타,25m미만,85.0000,0.0000,57000.0000,3,,2009,-,,경기도 성남시분당구 금곡동,4113511100
201706,7536,19,2089,1**,집합,성남대로,중심상업,제2종근린생활,25m이상,103.0000,0.0000,39000.0000,,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7537,21,2089,2**,집합,정자일로,중심상업,제2종근린생활,25m이상,48.0000,0.0000,18294.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7538,21,2089,2**,집합,정자일로,중심상업,제2종근린생활,25m이상,49.0000,0.0000,29959.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7539,24,2089,2**,집합,정자일로,중심상업,업무,25m이상,120.0000,0.0000,59000.0000,,,2001,-,,경기도 성남시분당구 금곡동,4113511100
201706,7540,21,2089,2**,집합,정자일로,중심상업,제2종근린생활,25m이상,71.0000,0.0000,45568.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7541,07,2089,1**,집합,성남대로,중심상업,제2종근린생활,25m이상,86.0000,0.0000,48000.0000,,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7542,21,2089,2**,집합,정자일로,중심상업,제1종근린생활,25m이상,46.0000,0.0000,28281.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7543,24,2089,2**,집합,정자일로,중심상업,업무,25m이상,58.0000,0.0000,31700.0000,,,2001,-,,경기도 성남시분당구 금곡동,4113511100
201706,7544,07,2089,1**,집합,돌마로,중심상업,제1종근린생활,25m이상,249.0000,0.0000,76639.0000,,,2002,-,,경기도 성남시분당구 금곡동,4113511100
201706,7545,21,2089,2**,집합,정자일로,중심상업,제1종근린생활,25m이상,38.0000,0.0000,23665.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7546,02,2089,2**,집합,정자일로,중심상업,제2종근린생활,25m이상,44.0000,0.0000,21000.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7547,05,2089,3**,집합,대왕판교로,보전녹지,기타,25m미만,165.0000,0.0000,119000.0000,1,,2009,-,,경기도 성남시분당구 금곡동,4113511100
201706,7548,10,2089,2**,집합,정자일로,중심상업,업무,25m이상,90.0000,0.0000,46000.0000,,,2001,-,,경기도 성남시분당구 금곡동,4113511100
201706,7549,19,2089,1**,집합,성남대로,중심상업,제2종근린생활,25m이상,103.0000,0.0000,39000.0000,,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7550,05,2089,1**,집합,미금로,제3종일반주거,제1종근린생활,25m이상,17.0000,0.0000,9300.0000,1,,1995,-,,경기도 성남시분당구 금곡동,4113511100
201706,7551,21,2089,2**,집합,정자일로,중심상업,제2종근린생활,25m이상,61.0000,0.0000,23329.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7552,21,2089,2**,집합,정자일로,중심상업,제2종근린생활,25m이상,49.0000,0.0000,29959.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7553,17,2089,2**,집합,정자일로,중심상업,업무,25m이상,90.0000,0.0000,45500.0000,,,2001,-,,경기도 성남시분당구 금곡동,4113511100
201706,7554,23,2089,1**,집합,미금로,제3종일반주거,제1종근린생활,25m이상,32.0000,0.0000,44800.0000,1,,1995,-,,경기도 성남시분당구 금곡동,4113511100
201706,7555,19,2089,2**,집합,정자일로,중심상업,업무,25m이상,91.0000,0.0000,43500.0000,,,2001,-,,경기도 성남시분당구 금곡동,4113511100
201706,7556,21,2089,2**,집합,정자일로,중심상업,제2종근린생활,25m이상,40.0000,0.0000,15945.0000,1,,2004,-,,경기도 성남시분당구 금곡동,4113511100
201706,7557,10,3927,6*,집합,동원로21번길,자연녹지,제2종근린생활,8m미만,98.0000,0.0000,33200.0000,4,,2016,-,,경기도 성남시분당구 동원동,4113511300
201706,7558,02,2090,1**,집합,구미로9번길,일반상업,제2종근린생활,25m미만,72.0000,0.0000,28000.0000,2,,1998,-,,경기도 성남시분당구 구미동,4113511400
201706,7559,21,2090,1**,집합,성남대로,일반상업,판매,25m이상,27.0000,0.0000,17250.0000,1,,2004,-,,경기도 성남시분당구 구미동,4113511400
